County Code,County Title,MSA Code,MSA Title,CSA Code,CSA Title
47105,"Loudon County, Tennessee",C2894,"Knoxville, TN MSA",CS314,"Knoxville-Morristown-Sevierville, TN CSA"
47107,"McMinn County, Tennessee",C1194,"Athens, TN MicroSA",CS174,"Chattanooga-Cleveland-Dalton, TN-GA-AL CSA"
47111,"Macon County, Tennessee",C3498,"Nashville-Davidson--Murfreesboro--Franklin, TN MSA",CS400,"Nashville-Davidson--Murfreesboro, TN CSA"
47113,"Madison County, Tennessee",C2718,"Jackson, TN MSA",,
47115,"Marion County, Tennessee",C1686,"Chattanooga, TN-GA MSA",CS174,"Chattanooga-Cleveland-Dalton, TN-GA-AL CSA"
47117,"Marshall County, Tennessee",C3028,"Lewisburg, TN MicroSA",CS400,"Nashville-Davidson--Murfreesboro, TN CSA"
47119,"Maury County, Tennessee",C3498,"Nashville-Davidson--Murfreesboro--Franklin, TN MSA",CS400,"Nashville-Davidson--Murfreesboro, TN CSA"
47125,"Montgomery County, Tennessee",C1730,"Clarksville, TN-KY MSA",,
47127,"Moore County, Tennessee",C4610,"Tullahoma-Manchester, TN MicroSA",,
47129,"Morgan County, Tennessee",C2894,"Knoxville, TN MSA",CS314,"Knoxville-Morristown-Sevierville, TN CSA"
47131,"Obion County, Tennessee",C4646,"Union City, TN-KY MicroSA",CS362,"Martin-Union City, TN-KY CSA"
47133,"Overton County, Tennessee",C1826,"Cookeville, TN MicroSA",,
47139,"Polk County, Tennessee",C1742,"Cleveland, TN MSA",CS174,"Chattanooga-Cleveland-Dalton, TN-GA-AL CSA"
47141,"Putnam County, Tennessee",C1826,"Cookeville, TN MicroSA",,
47143,"Rhea County, Tennessee",C1942,"Dayton, TN MicroSA",CS174,"Chattanooga-Cleveland-Dalton, TN-GA-AL CSA"
47145,"Roane County, Tennessee",C2894,"Knoxville, TN MSA",CS314,"Knoxville-Morristown-Sevierville, TN CSA"
47147,"Robertson County, Tennessee",C3498,"Nashville-Davidson--Murfreesboro--Franklin, TN MSA",CS400,"Nashville-Davidson--Murfreesboro, TN CSA"
47149,"Rutherford County, Tennessee",C3498,"Nashville-Davidson--Murfreesboro--Franklin, TN MSA",CS400,"Nashville-Davidson--Murfreesboro, TN CSA"
47153,"Sequatchie County, Tennessee",C1686,"Chattanooga, TN-GA MSA",CS174,"Chattanooga-Cleveland-Dalton, TN-GA-AL CSA"
47155,"Sevier County, Tennessee",C4294,"Sevierville, TN MicroSA",CS314,"Knoxville-Morristown-Sevierville, TN CSA"
47157,"Shelby County, Tennessee",C3282,"Memphis, TN-MS-AR MSA",CS368,"Memphis-Forrest City, TN-MS-AR CSA"
47159,"Smith County, Tennessee",C3498,"Nashville-Davidson--Murfreesboro--Franklin, TN MSA",CS400,"Nashville-Davidson--Murfreesboro, TN CSA"
47163,"Sullivan County, Tennessee",C2870,"Kingsport-Bristol-Bristol, TN-VA MSA",CS304,"Johnson City-Kingsport-Bristol, TN-VA CSA"
47165,"Sumner County, Tennessee",C3498,"Nashville-Davidson--Murfreesboro--Franklin, TN MSA",CS400,"Nashville-Davidson--Murfreesboro, TN CSA"
47167,"Tipton County, Tennessee",C3282,"Memphis, TN-MS-AR MSA",CS368,"Memphis-Forrest City, TN-MS-AR CSA"
47169,"Trousdale County, Tennessee",C3498,"Nashville-Davidson--Murfreesboro--Franklin, TN MSA",CS400,"Nashville-Davidson--Murfreesboro, TN CSA"
47171,"Unicoi County, Tennessee",C2774,"Johnson City, TN MSA",CS304,"Johnson City-Kingsport-Bristol, TN-VA CSA"
47173,"Union County, Tennessee",C2894,"Knoxville, TN MSA",CS314,"Knoxville-Morristown-Sevierville, TN CSA"
